DATE,SPPOP65UPTOZSUSA
1960-01-01,9.1157240516365
1961-01-01,9.19070286933771
1962-01-01,9.25666124770925
1963-01-01,9.32093675570192
1964-01-01,9.38862385893657
1965-01-01,9.46046624606258
1966-01-01,9.5770322269274
1967-01-01,9.69526310967829
1968-01-01,9.81637277255134
1969-01-01,9.93673371555787
1970-01-01,10.0508148547925
1971-01-01,10.19898387044
1972-01-01,10.333096759756
1973-01-01,10.4651258924921
1974-01-01,10.5990648481906
1975-01-01,10.7304526940099
1976-01-01,10.8903418943005
1977-01-01,11.0503160581731
1978-01-01,11.2168348760963
1979-01-01,11.3876430297024
1980-01-01,11.5565418997375
1981-01-01,11.6858364944201
1982-01-01,11.7987714612327
1983-01-01,11.9059368147568
1984-01-01,12.0164485180539
1985-01-01,12.1316674554753
1986-01-01,12.2502403041832
1987-01-01,12.3609815352887
1988-01-01,12.4633778668089
1989-01-01,12.5532065058315
1990-01-01,12.6277839838757
1991-01-01,12.6712559239854
1992-01-01,12.695214280064
1993-01-01,12.7025444314064
1994-01-01,12.6920733689759
1995-01-01,12.6625104800809
1996-01-01,12.6109816541527
1997-01-01,12.545806175682
1998-01-01,12.4730115222078
1999-01-01,12.3997197611975
2000-01-01,12.3337392660218
2001-01-01,12.3139292858862
2002-01-01,12.2915656601496
2003-01-01,12.2776805891466
2004-01-01,12.2825855574362
2005-01-01,12.3117114938844
2006-01-01,12.3809160556302
2007-01-01,12.4718681790523
2008-01-01,12.5951145979011
2009-01-01,12.7626484656842
2010-01-01,12.9817726024576
2011-01-01,13.2502621355322
2012-01-01,13.5614320272468
2013-01-01,13.9050443081105
2014-01-01,14.2676996042196
2015-01-01,14.6428847122761
2016-01-01,15.0336787501808
2017-01-01,15.4193658960742
2018-01-01,15.8076540556035
2019-01-01,16.2096061428511
2020-01-01,16.6309257142475
2021-01-01,17.0373616576982
